2026-01-05 19:15:16,745 | INFO | MainProcess | Found a solution 64
2026-01-05 19:15:16,745 | INFO | MainProcess | [Test k=221, w=64] Time: 8.85 seconds
2026-01-05 19:15:18,261 | INFO | Process-19 | Number of variables: 375277
2026-01-05 19:15:18,264 | INFO | Process-19 | Number of clauses: 1918416
2026-01-05 19:15:18,264 | INFO | Process-19 | Real nums of clauses: 1919966
2026-01-05 19:15:18,269 | INFO | Process-19 | Real nums of variables: 375275
2026-01-05 19:15:19,286 | INFO | Process-19 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w65.cnf
2026-01-05 19:15:19,287 | INFO | Process-19 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w65.cnf
2026-01-05 19:15:25,769 | INFO | Process-19 | [PAINLESS] status=SAT rc=10 time=6.48s
2026-01-05 19:15:25,770 | RESULT | Process-19 | [PAINLESS] result: status=SAT time=6.48s rc=10
2026-01-05 19:15:25,770 | RESULT | Process-19 | [PAINLESS] Shortcut: SAT at width=65
2026-01-05 19:15:25,770 | RESULT | Process-19 | Time taken: 9.022500991821289 seconds
2026-01-05 19:15:25,908 | INFO | MainProcess | Found a solution 65
2026-01-05 19:15:25,909 | INFO | MainProcess | [Test k=221, w=65] Time: 9.16 seconds
2026-01-05 19:15:27,493 | INFO | Process-20 | Number of variables: 375277
2026-01-05 19:15:27,494 | INFO | Process-20 | Number of clauses: 1923460
2026-01-05 19:15:27,494 | INFO | Process-20 | Real nums of clauses: 1925034
2026-01-05 19:15:27,494 | INFO | Process-20 | Real nums of variables: 375275
2026-01-05 19:15:30,235 | INFO | Process-20 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w66.cnf
2026-01-05 19:15:30,236 | INFO | Process-20 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w66.cnf
2026-01-05 19:15:36,677 | INFO | Process-20 | [PAINLESS] status=SAT rc=10 time=6.44s
2026-01-05 19:15:36,678 | RESULT | Process-20 | [PAINLESS] result: status=SAT time=6.44s rc=10
2026-01-05 19:15:36,678 | RESULT | Process-20 | [PAINLESS] Shortcut: SAT at width=66
2026-01-05 19:15:36,678 | RESULT | Process-20 | Time taken: 10.76681399345398 seconds
2026-01-05 19:15:36,813 | INFO | MainProcess | Found a solution 66
2026-01-05 19:15:36,813 | INFO | MainProcess | [Test k=221, w=66] Time: 10.9 seconds
2026-01-05 19:15:38,334 | INFO | Process-21 | Number of variables: 375277
